Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model,cid
Mercedes-Benz,38900.0,crossover,65,4.5,Petrol,yes,2010,GL 450,979
Renault,4000.0,sedan,180,1.4,Gas,yes,2006,Logan,980
Toyota,13300.0,sedan,152,2.0,Petrol,yes,2009,Avensis,981
Volkswagen,34500.0,crossover,108,3.0,Diesel,yes,2012,Touareg,982
BMW,24999.0,vagon,24,2.0,Petrol,yes,2012,X1,983
Volkswagen,9750.0,hatch,130,1.4,Petrol,yes,2005,Golf V,984
BMW,5900.0,sedan,390,1.8,Gas,yes,1996,318,985
Volkswagen,6500.0,van,290,1.9,Diesel,yes,2004,T5 (Transporter) ,986
Volkswagen,11000.0,vagon,127,1.6,Diesel,yes,2012,Golf VI,987
Mercedes-Benz,18800.0,sedan,320,5.0,Petrol,yes,1998,S 500,988
Volkswagen,13700.0,van,222,2.0,Diesel,yes,2011,T5 (Transporter) ,989
Volkswagen,8500.0,van,184,2.0,Diesel,yes,2007,Caddy,990
Volkswagen,19100.0,sedan,4,1.6,Other,yes,2016,Jetta,991
Renault,10200.0,hatch,70,1.5,Diesel,yes,2013,Sandero,992
Mercedes-Benz,173333.0,other,0,3.0,Petrol,yes,2016,S 400,993
BMW,7800.0,sedan,310,2.0,Gas,yes,2000,520,994
Mercedes-Benz,9150.0,sedan,273,2.7,Diesel,yes,2000,E-Class,995
Renault,7900.0,van,268,1.5,Diesel,yes,2008,Grand Scenic,996
Toyota,72000.0,crossover,40,4.5,Diesel,yes,2014,Land Cruiser 200,997
Mercedes-Benz,49500.0,crossover,52,3.0,Diesel,yes,2013,ML 350,998
Volkswagen,45000.0,sedan,90,3.0,Diesel,yes,2011,Phaeton,999
Renault,8300.0,van,141,2.0,Diesel,yes,2011,Trafic,1000
Renault,5100.0,vagon,156,1.5,Diesel,yes,2006,Kangoo,1001
Toyota,15300.0,other,116,2.4,Petrol,yes,2009,Camry,1002
Volkswagen,7300.0,van,142,2.0,Diesel,yes,2006,Caddy,1003
Toyota,14700.0,hatch,98,1.6,Gas,yes,2013,Auris,1004
Mercedes-Benz,7900.0,other,197,2.2,Diesel,yes,2003,Vito,1005
Volkswagen,2900.0,vagon,243,1.9,Diesel,no,1999,Passat B5,1006
Mercedes-Benz,,crossover,0,3.0,Diesel,yes,2016,GLE-Class,1007
BMW,3200.0,sedan,237,2.5,Petrol,yes,1990,525,1008
Mercedes-Benz,4400.0,sedan,160,2.7,Diesel,no,2000,E-Class,1009
Toyota,20800.0,crossover,107,4.0,Petrol,yes,2006,Land Cruiser Prado,1010
Toyota,27800.0,crossover,98,2.2,Diesel,yes,2013,Rav 4,1011
Audi,16500.0,vagon,171,2.0,Diesel,yes,2008,A6,1012
Mercedes-Benz,,van,190,2.2,Diesel,yes,2007,Vito,1013
Renault,10500.0,van,67,1.6,Petrol,yes,2012,Scenic,1014
Mitsubishi,16999.0,crossover,107,3.0,Gas,yes,2008,Pajero Wagon,1015
Audi,35000.0,sedan,92,2.8,Petrol,yes,2013,A6,1016
Mercedes-Benz,21500.0,crossover,142,3.5,Petrol,yes,2008,ML 350,1017
Mercedes-Benz,15800.0,other,264,2.2,Other,yes,2009,Vito,1018
BMW,75555.0,sedan,30,4.4,Petrol,yes,2014,550,1019
Renault,,van,159,1.5,Diesel,yes,2011,Kangoo,1020
Toyota,8900.0,other,180,2.0,Petrol,yes,2003,Rav 4,1021
Renault,6300.0,vagon,189,1.5,Diesel,yes,2008,Kangoo,1022
Mitsubishi,20500.0,crossover,109,3.2,Diesel,yes,2009,Pajero Wagon,1023
Volkswagen,11300.0,van,165,1.9,Diesel,yes,2010,Caddy,1024
Mercedes-Benz,2300.0,sedan,261,2.3,Gas,yes,1978,E-Class,1025
Volkswagen,42500.0,crossover,63,3.0,Diesel,yes,2014,Touareg,1026
Toyota,28000.0,crossover,95,3.5,Gas,yes,2011,Highlander,1027
Mitsubishi,17500.0,crossover,38,1.8,Petrol,yes,2012,ASX,1028
Volkswagen,7800.0,van,282,2.5,Diesel,yes,2000,T4 (Transporter),1029
Mercedes-Benz,74999.0,crossover,1,2.2,Diesel,yes,2016,GLE-Class,1030
Renault,10200.0,other,39,1.5,Diesel,yes,2014,Kangoo,1031
BMW,22500.0,sedan,179,3.0,Diesel,yes,2007,730,1032
Mercedes-Benz,52777.0,sedan,60,3.0,Diesel,yes,2012,CLS 350,1033
Toyota,14250.0,van,127,3.5,Other,yes,2007,Sienna,1034
Toyota,26200.0,crossover,156,4.0,Gas,yes,2007,Land Cruiser Prado,1035
Volkswagen,9800.0,van,299,2.5,Diesel,yes,2002,T4 (Transporter),1036
Mercedes-Benz,47600.0,van,0,2.2,Diesel,yes,2016,Vito,1037
Volkswagen,8700.0,other,357,2.5,Diesel,yes,2003,T4 (Transporter) ,1038
BMW,30500.0,crossover,147,3.0,Diesel,yes,2008,X5,1039
Renault,11700.0,vagon,177,1.5,Diesel,yes,2012,Laguna,1040
BMW,29500.0,sedan,850,,Petrol,yes,2011,523,1041
Mercedes-Benz,6400.0,hatch,177,2.0,Diesel,no,2008,B 200,1042
BMW,36400.0,crossover,80,3.0,Petrol,yes,2011,X5,1043
Audi,75000.0,crossover,0,3.0,Diesel,yes,2015,Q7,1044
Volkswagen,6000.0,hatch,195,1.2,Gas,yes,2004,Polo,1045
Mercedes-Benz,4900.0,van,248,2.2,Diesel,yes,2003,Vito,1046
Mercedes-Benz,6999.0,sedan,288,3.2,Gas,yes,2001,E-Class,1047
Volkswagen,9900.0,other,171,1.6,Diesel,yes,2011,Caddy,1048
Volkswagen,3500.0,sedan,189,1.8,Petrol,yes,1993,Vento,1049
Volkswagen,,van,162,2.0,Diesel,yes,2011,T5 (Transporter) ,1050
BMW,1750.0,vagon,200,2.0,Petrol,no,2000,520,1051
Renault,4600.0,sedan,230,1.5,Diesel,yes,2007,Kangoo,1052
Mercedes-Benz,,other,0,3.0,Other,yes,2016,S 400,1053
Volkswagen,9800.0,van,220,1.9,Diesel,yes,2008,Caddy,1054
Renault,5950.0,van,135,1.5,Diesel,yes,2012,Kangoo,1055
Renault,7400.0,van,120,1.5,Diesel,yes,2012,Kangoo,1056
Audi,12800.0,sedan,217,1.8,Petrol,yes,2007,A4,1057
BMW,7300.0,sedan,350,,Petrol,yes,1997,520,1058
Volkswagen,9000.0,sedan,59,1.6,Gas,yes,2013,Polo,1059
Volkswagen,1550.0,hatch,130,1.3,Petrol,yes,1986,Golf II,1060
Mitsubishi,18600.0,crossover,52,2.0,Petrol,yes,2013,Outlander,1061
BMW,3900.0,sedan,340,2.5,Diesel,no,2000,525,1062
Audi,92222.0,crossover,0,3.0,Diesel,yes,2016,Q7,1063
Volkswagen,5400.0,other,314,2.4,Diesel,yes,1993,T4 (Transporter),1064
Audi,16000.0,sedan,250,2.0,Diesel,yes,2008,A6,1065
Volkswagen,3500.0,other,304,1.9,Diesel,no,2006,Touran,1066
Mercedes-Benz,6500.0,sedan,270,2.8,Gas,yes,1999,E-Class,1067
Mercedes-Benz,7000.0,sedan,300,4.3,Gas,yes,2000,E-Class,1068
Renault,10499.0,vagon,121,1.5,Diesel,yes,2013,Megane,1069
Renault,13900.0,crossover,111,2.5,Gas,yes,2010,Koleos,1070
BMW,6400.0,other,220,2.5,Petrol,yes,1997,323,1071
BMW,10800.0,sedan,246,3.0,Diesel,yes,2003,530,1072
BMW,12700.0,hatch,130,2.0,Petrol,yes,2007,118,1073
BMW,38500.0,sedan,140,2.0,Diesel,yes,2012,520,1074
Mitsubishi,5999.0,sedan,150,1.6,Petrol,yes,2005,Lancer,1075
Renault,9500.0,hatch,77,1.6,Petrol,yes,2011,Megane,1076
Volkswagen,12000.0,van,196,2.0,Diesel,yes,2011,T5 (Transporter) ,1077
Mercedes-Benz,38700.0,sedan,117,5.5,Petrol,yes,2010,S 550,1078
Mercedes-Benz,40000.0,other,119,6.3,Petrol,yes,2008,ML 63 AMG,1079
Mercedes-Benz,6900.0,other,311,2.2,Diesel,yes,1999,Vito,1080
Audi,24300.0,sedan,43,1.8,Petrol,yes,2012,A4,1081
Mitsubishi,17700.0,crossover,165,3.0,Gas,yes,2007,Pajero Wagon,1082
Toyota,18999.0,crossover,153,2.7,Gas,yes,2006,Land Cruiser Prado,1083
BMW,8300.0,sedan,200,4.4,Petrol,yes,2001,740,1084
Toyota,25000.0,crossover,80,4.0,Gas,yes,2008,FJ Cruiser,1085
Volkswagen,,vagon,161,1.4,Petrol,yes,2011,Passat B7,1086
Mitsubishi,12499.0,crossover,142,2.4,Gas,yes,2008,Outlander XL,1087
BMW,2899.0,sedan,340,2.4,Diesel,yes,1988,524,1088
BMW,19900.0,other,95,4.5,Petrol,yes,2005,645,1089
Audi,51000.0,crossover,44,3.0,Diesel,yes,2014,Q7,1090
Audi,81999.0,crossover,0,2.98,Diesel,yes,2016,Q7,1091
BMW,9500.0,sedan,400,3.5,Gas,yes,1999,735,1092
Mitsubishi,10200.0,crossover,99,2.0,Gas,yes,2008,Outlander,1093
Mercedes-Benz,5500.0,van,260,2.2,Diesel,no,2004,Vito,1094
Volkswagen,18500.0,sedan,74,1.8,Petrol,yes,2011,Passat CC,1095
Volkswagen,11200.0,van,200,2.5,Diesel,yes,2003,T4 (Transporter),1096
BMW,3099.0,sedan,320,2.0,Diesel,no,2000,320,1097
Audi,27300.0,other,65,2.0,Petrol,yes,2011,TT,1098
Volkswagen,1450.0,other,200,1.8,Gas,yes,1987,Jetta,1099
Mitsubishi,9700.0,sedan,120,2.4,Gas,yes,2006,Galant,1100
Mitsubishi,18900.0,crossover,127,3.0,Gas,yes,2008,Pajero Wagon,1101
Audi,33500.0,crossover,67,2.0,Petrol,yes,2011,Q5,1102
Volkswagen,5500.0,van,400,1.9,Diesel,yes,1995,T4 (Transporter),1103
Volkswagen,5300.0,sedan,270,1.8,Gas,yes,1997,Passat B5,1104
Toyota,25500.0,crossover,200,4.0,Petrol,yes,2007,Land Cruiser Prado,1105
Toyota,23660.0,crossover,125,3.5,Gas,yes,2013,Highlander,1106
Volkswagen,3100.0,hatch,311,1.6,Gas,yes,1986,Golf II,1107
Mitsubishi,5900.0,sedan,170,1.6,Petrol,yes,2007,Lancer,1108
Volkswagen,15900.0,sedan,150,2.0,Diesel,yes,2012,Passat B7,1109
Mercedes-Benz,105999.0,crossover,0,2.98,Diesel,yes,2016,GLE-Class,1110
Mercedes-Benz,18500.0,van,170,2.2,Diesel,yes,2010,Vito,1111
BMW,86999.0,crossover,0,3.0,Diesel,yes,2016,X6,1112
BMW,27800.0,sedan,170,2.0,Diesel,yes,2011,520,1113
Volkswagen,9000.0,van,275,2.5,Diesel,yes,2002,T4 (Transporter),1114
Toyota,12200.0,sedan,185,3.5,Petrol,yes,2008,Camry,1115
Toyota,5800.0,sedan,200,2.2,Petrol,yes,1999,Camry,1116
Volkswagen,14499.0,van,164,2.0,Diesel,yes,2013,T5 (Transporter) ,1117
Audi,37000.0,other,170,3.0,Diesel,yes,2010,Q7,1118
Volkswagen,4500.0,hatch,199,1.8,Petrol,yes,1996,Golf III,1119
Audi,6557.85,sedan,327,4.2,Gas,yes,2000,A8,1120
Renault,6800.0,sedan,219,1.6,Gas,yes,2007,Megane,1121
BMW,37900.0,crossover,97,3.0,Diesel,yes,2010,X6,1122
Audi,14200.0,sedan,176,3.0,Diesel,yes,2005,A6,1123
Mitsubishi,9350.0,sedan,94,1.5,Gas,yes,2010,Lancer X,1124
Volkswagen,2200.0,vagon,150,1.6,Petrol,yes,1986,Passat B2,1125
Toyota,3100.0,hatch,283,1.3,Petrol,yes,1994,Corolla,1126
Mitsubishi,8400.0,crossover,100,3.2,Diesel,yes,2011,Pajero Wagon,1127
Audi,30650.0,vagon,35,2.0,Petrol,yes,2013,A4 Allroad,1128
Audi,8800.0,sedan,298,2.4,Gas,yes,1999,A6,1129
Mercedes-Benz,,other,25,4.7,Petrol,yes,2014,S 500,1130
Mitsubishi,7699.0,crossover,254,3.0,Petrol,yes,2002,Pajero Sport,1131
Renault,6400.0,van,136,1.5,Diesel,yes,2012,Kangoo,1132
Volkswagen,16200.0,hatch,44,1.4,Petrol,yes,2012,Golf VI,1133
Volkswagen,4100.0,sedan,88,1.8,Gas,yes,1993,Vento,1134
Mercedes-Benz,6800.0,sedan,235,2.2,Diesel,yes,1999,C-Class,1135
Volkswagen,10600.0,sedan,75,1.6,Petrol,yes,2012,Polo,1136
Toyota,13000.0,crossover,149,2.0,Petrol,yes,2006,Rav 4,1137
Toyota,6500.0,sedan,248,2.0,Petrol,yes,2001,Avensis,1138
Audi,25500.0,vagon,181,3.0,Petrol,yes,2009,A6 Allroad,1139
Volkswagen,28000.0,crossover,132,2.0,Diesel,yes,2011,Amarok,1140
Toyota,9800.0,sedan,123,,Petrol,yes,2008,Corolla,1141
Audi,3500.0,sedan,200,2.5,Diesel,no,2001,A8,1142
Volkswagen,14899.0,van,165,2.0,Diesel,yes,2013,Caddy,1143
BMW,3500.0,sedan,300,3.0,Diesel,no,1999,530,1144
BMW,3500.0,sedan,272,2.0,Diesel,yes,2000,320,1145
Volkswagen,71138.0,crossover,0,3.0,Diesel,yes,2016,Touareg,1146
Renault,9658.94,sedan,1,1.2,Petrol,yes,2016,Logan,1147
Volkswagen,13000.0,van,178,2.5,Diesel,yes,2007,T6 (Transporter),1148
Toyota,8000.0,hatch,115,1.6,Petrol,yes,2007,Corolla,1149
BMW,56500.0,crossover,1,2.0,Diesel,yes,2016,X5,1150
Renault,9700.0,vagon,114,1.5,Diesel,yes,2012,Kangoo,1151
Mercedes-Benz,7300.0,hatch,176,1.4,Petrol,yes,2004,A 140,1152
Renault,9000.0,vagon,190,1.5,Diesel,yes,2009,Megane,1153
Volkswagen,17900.0,sedan,96,2.5,Petrol,yes,2013,Passat B7,1154
Volkswagen,10700.0,sedan,147,2.0,Petrol,yes,2007,Passat B6,1155
Mercedes-Benz,11600.0,sedan,186,3.2,Petrol,yes,2003,E-Class,1156
Volkswagen,15000.0,van,275,2.5,Diesel,yes,2008,T5 (Transporter),1157
Volkswagen,8350.0,hatch,200,1.4,Petrol,yes,2005,Golf V,1158
Mercedes-Benz,7700.0,sedan,199,5.0,Petrol,yes,1996,S 500,1159
BMW,47000.0,other,5,2.0,Petrol,yes,2014,Z4,1160
Audi,72000.0,sedan,55,6.3,Petrol,yes,2012,A8,1161
Mitsubishi,17499.0,crossover,149,3.0,Gas,yes,2008,Pajero Wagon,1162
Renault,11300.0,vagon,141,1.5,Diesel,yes,2013,Megane,1163
Toyota,8500.0,sedan,168,1.6,Petrol,yes,2008,Corolla,1164
Mercedes-Benz,14490.0,vagon,212,2.2,Diesel,yes,2008,E-Class,1165
Volkswagen,11999.0,van,176,2.0,Diesel,yes,2011,T5 (Transporter) ,1166
Volkswagen,4300.0,hatch,217,1.6,Gas,yes,1997,Golf III,1167
BMW,35500.0,crossover,33,2.0,Diesel,yes,2014,X1,1168
Toyota,2800.0,other,421,1.3,Gas,yes,1988,Corolla,1169
BMW,37976.25,sedan,0,2.0,Petrol,yes,2016,520,1170
Renault,10500.0,van,183,2.5,Diesel,yes,2006,Trafic,1171
Toyota,74999.0,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,1172
Renault,7300.0,van,125,1.5,Diesel,yes,2012,Kangoo,1173
Mitsubishi,12200.0,crossover,140,2.4,Petrol,yes,2007,Outlander XL,1174
Toyota,,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,1175
Mercedes-Benz,13600.0,van,199,2.2,Diesel,yes,2009,Vito,1176
Audi,5000.0,sedan,280,2.3,Gas,yes,1992,100,1177
Renault,12800.0,other,188,2.0,Diesel,yes,2008,Trafic,1178
Volkswagen,12499.0,other,184,2.0,Diesel,yes,2012,T6 (Transporter) ,1179
Mitsubishi,2800.0,sedan,150,2.0,Gas,yes,1996,Galant,1180
Renault,7300.0,van,200,1.5,Diesel,yes,2007,Megane,1181
Mitsubishi,6800.0,sedan,82,2.0,Petrol,yes,2007,Lancer,1182
Mitsubishi,9500.0,crossover,225,2.4,Gas,yes,2004,Outlander,1183
Audi,15900.0,hatch,160,1.4,Petrol,yes,2011,A3,1184
Volkswagen,8900.0,other,180,1.9,Diesel,yes,2010,Caddy,1185
Toyota,16030.0,sedan,90,2.5,Gas,yes,2012,Camry,1186
BMW,28000.0,sedan,170,2.0,Diesel,yes,2011,520,1187
Audi,10700.0,vagon,222,2.5,Diesel,yes,2005,A6,1188
BMW,25000.0,crossover,150,30.0,Petrol,yes,2007,X5,1189
Mercedes-Benz,7000.0,sedan,230,2.0,Gas,yes,2000,E-Class,1190
Volkswagen,8800.0,van,260,2.5,Diesel,yes,2008,T5 (Transporter) ,1191
Volkswagen,35000.0,crossover,20,2.0,Diesel,yes,2014,Tiguan,1192
Audi,8000.0,vagon,200,2.7,Diesel,yes,2006,A6,1193
Mercedes-Benz,15400.0,sedan,260,2.2,Diesel,yes,2008,E-Class,1194
Volkswagen,7650.0,sedan,325,1.8,Gas,yes,2003,Passat B5,1195
Mitsubishi,10600.0,crossover,52,2.0,Petrol,yes,2008,Outlander,1196
Renault,8200.0,vagon,192,1.5,Diesel,yes,2010,Logan,1197
Volkswagen,8700.0,other,520,2.5,Diesel,yes,1999,T4 (Transporter),1198
BMW,45000.0,sedan,29,2.0,Diesel,yes,2016,520,1199
Volkswagen,5699.0,van,258,2.5,Diesel,yes,2001,T4 (Transporter) ,1200
Mercedes-Benz,13200.0,van,217,3.7,Gas,yes,2005,Viano,1201
Volkswagen,11500.0,van,70,2.0,Diesel,yes,2013,Caddy,1202
BMW,3300.0,sedan,233,28.0,Petrol,no,1997,528,1203
Volkswagen,12700.0,van,213,2.0,Diesel,yes,2012,T5 (Transporter) ,1204
Mercedes-Benz,,other,176,3.0,Diesel,yes,2008,E-Class,1205
Volkswagen,12300.0,hatch,62,1.4,Petrol,yes,2012,Polo,1206
Mercedes-Benz,35500.0,sedan,100,3.5,Petrol,yes,2010,S 350,1207
Audi,15500.0,sedan,210,2.0,Diesel,yes,2008,A4,1208
Mercedes-Benz,33000.0,crossover,109,2.2,Diesel,yes,2012,GLK 220,1209
Mercedes-Benz,,van,173,2.2,Diesel,yes,2011,Vito,1210
BMW,6500.0,sedan,280,2.0,Petrol,yes,1997,320,1211
Volkswagen,2350.0,sedan,11,1.9,Other,no,2000,Passat B5,1212
Volkswagen,17900.0,crossover,130,3.6,Gas,yes,2007,Touareg,1213
BMW,34500.0,other,160,3.0,Diesel,yes,2010,X5,1214
Renault,12300.0,sedan,99,2.5,Petrol,yes,2011,Latitude,1215
Mercedes-Benz,20500.0,sedan,193,3.5,Other,yes,2006,CLS 350,1216
BMW,75555.0,sedan,30,4.4,Petrol,yes,2014,M5,1217
Toyota,12800.0,sedan,145,2.4,Petrol,yes,2008,Camry,1218
Mercedes-Benz,12800.0,other,360,2.2,Diesel,yes,2008,Vito,1219
Audi,6900.0,sedan,327,3.7,Petrol,yes,1997,A8,1220
Volkswagen,17200.0,crossover,220,2.5,Diesel,yes,2006,Touareg,1221
Renault,6800.0,sedan,87,1.4,Petrol,yes,2013,Symbol,1222
Audi,14300.0,other,80,4.2,Petrol,yes,2004,A8,1223
Volkswagen,11600.0,sedan,169,1.4,Gas,no,2013,Passat B7,1224
Volkswagen,11990.0,van,231,2.5,Diesel,yes,2002,T4 (Transporter),1225
BMW,77777.0,sedan,8,4.4,Petrol,yes,2014,750,1226
Mercedes-Benz,6800.0,sedan,186,,Petrol,yes,1998,C-Class,1227
BMW,2800.0,sedan,300,1.8,Other,yes,1987,318,1228
Mercedes-Benz,28500.0,other,65,1.8,Petrol,yes,2011,E-Class,1229
Audi,42700.0,crossover,75,3.0,Diesel,yes,2013,Q7,1230
Volkswagen,6950.0,other,217,1.9,Diesel,yes,2006,Caddy,1231
Volkswagen,7300.0,hatch,117,1.4,Petrol,yes,2007,Polo,1232
Mercedes-Benz,,sedan,25,3.0,Diesel,yes,2014,S 350,1233
Mitsubishi,27565.2,crossover,1,2.5,Diesel,yes,2016,Pajero Sport,1234
Volkswagen,12900.0,vagon,145,1.6,Diesel,yes,2011,Golf Variant,1235
Volkswagen,5900.0,sedan,217,2.3,Petrol,yes,1999,Bora,1236
Mercedes-Benz,2600.0,hatch,111,1.4,Petrol,no,1999,A 140,1237
Audi,2799.0,vagon,390,1.9,Diesel,no,1998,A6,1238
Mitsubishi,21000.0,crossover,98,2.5,Diesel,yes,2011,Pajero Sport,1239
Audi,4999.0,sedan,231,1.9,Diesel,no,2002,A6,1240
Volkswagen,6900.0,sedan,160,1.6,Petrol,yes,2003,Bora,1241
Mercedes-Benz,5800.0,sedan,366,3.2,Gas,yes,1991,S 320,1242
Mitsubishi,15700.0,other,68,1.8,Petrol,yes,2011,ASX,1243
Volkswagen,74500.0,crossover,0,3.0,Diesel,yes,2015,Touareg,1244
Mercedes-Benz,22900.0,sedan,131,5.5,Gas,yes,2008,S 500,1245
Mercedes-Benz,32000.0,crossover,96,3.5,Petrol,yes,2010,ML 350,1246
Mercedes-Benz,35300.0,sedan,3,1.6,Petrol,yes,2014,CLA 200,1247
Volkswagen,6900.0,sedan,320,1.8,Gas,yes,2002,Passat B5,1248
BMW,7000.0,sedan,286,2.8,Petrol,yes,2001,520,1249
Volkswagen,35800.0,crossover,92,3.0,Diesel,yes,2011,Touareg,1250
Volkswagen,10700.0,hatch,60,1.4,Petrol,yes,2010,Polo,1251
BMW,23999.0,crossover,194,3.0,Petrol,yes,2007,X5,1252
Volkswagen,2700.0,hatch,300,1.9,Diesel,no,2000,Golf IV,1253
Mercedes-Benz,10000.0,sedan,80,,Diesel,yes,2010,S 350,1254
Toyota,18200.0,crossover,146,2.7,Gas,yes,2006,Land Cruiser Prado,1255
Audi,2450.0,vagon,325,2.5,Diesel,no,2000,A6,1256
Audi,15800.0,hatch,123,1.4,Petrol,yes,2010,A3,1257
Volkswagen,9400.0,vagon,176,1.9,Diesel,yes,2005,Passat B5,1258
Mitsubishi,5800.0,vagon,230,1.6,Petrol,yes,2005,Space Star,1259
Volkswagen,13499.0,sedan,162,1.4,Petrol,yes,2012,Passat B7,1260
Volkswagen,39615.0,sedan,0,2.0,Diesel,yes,2016,Passat B8,1261
Toyota,23300.0,crossover,40,2.0,Petrol,yes,2014,Rav 4,1262
Audi,2100.0,sedan,217,1.9,Diesel,no,1996,A4,1263
BMW,3000.0,sedan,350,99.99,Other,yes,1992,520,1264
Mercedes-Benz,2700.0,sedan,337,2.3,Gas,yes,1988,230,1265
Renault,,van,153,2.0,Diesel,yes,2012,Trafic,1266
Volkswagen,6700.0,van,16,2.0,Diesel,yes,2005,Caddy,1267
BMW,43163.25,crossover,0,2.0,Diesel,yes,2016,X1,1268
Renault,2750.0,hatch,186,22.0,Diesel,no,2005,Laguna,1269
Toyota,28350.0,crossover,92,2.2,Diesel,yes,2013,Rav 4,1270
Toyota,29500.0,crossover,90,2.7,Gas,yes,2010,Land Cruiser Prado,1271
BMW,,crossover,15,4.39,Petrol,yes,2015,X5 M,1272
Volkswagen,8200.0,sedan,258,1.9,Diesel,yes,2004,Passat B5,1273
Mercedes-Benz,10999.0,other,269,2.2,Diesel,yes,2006,Sprinter 313,1274
Mercedes-Benz,,crossover,1,3.0,Diesel,yes,2016,GLS 350,1275
Renault,8299.0,sedan,19,1.2,Petrol,yes,2013,Logan,1276
Toyota,20500.0,sedan,105,2.5,Petrol,yes,2013,Camry,1277
Volkswagen,14500.0,van,168,2.0,Diesel,yes,2012,T5 (Transporter) ,1278
Toyota,17300.0,other,135,3.5,Gas,yes,2009,Camry,1279
Mercedes-Benz,18700.0,sedan,105,5.5,Petrol,yes,2006,S 500,1280
Toyota,13200.0,sedan,38,1.33,Petrol,yes,2014,Corolla,1281
Volkswagen,2450.0,sedan,200,1.3,Gas,yes,1991,Jetta,1282
Audi,55000.0,hatch,24,2.8,Other,yes,2014,A7,1283
Toyota,20000.0,van,135,2.4,Gas,yes,2006,Previa,1284
Volkswagen,4000.0,hatch,266,1.9,Diesel,yes,1993,Golf III,1285
Mitsubishi,16900.0,other,120,3.0,Petrol,yes,2008,Pajero Wagon,1286
Mitsubishi,11450.0,sedan,60,1.6,Gas,yes,2012,Lancer X,1287
Mercedes-Benz,24500.0,crossover,236,5.0,Petrol,yes,2000,G 500,1288
Renault,12350.0,sedan,64,2.0,Gas,yes,2011,Fluence,1289
Mercedes-Benz,6900.0,sedan,239,2.3,Petrol,yes,1996,E-Class,1290
Toyota,30500.0,crossover,40,2.7,Petrol,yes,2011,Land Cruiser Prado,1291
Mitsubishi,8800.0,sedan,105,2.0,Gas,yes,2008,Lancer X,1292
Audi,9700.0,sedan,249,2.5,Diesel,yes,2004,A6,1293
BMW,63500.0,crossover,33,3.0,Petrol,yes,2015,X5,1294
Mitsubishi,8900.0,sedan,96,2.0,Petrol,yes,2008,Lancer X,1295
Audi,1950.0,vagon,210,1.8,Gas,no,1996,A4,1296
Audi,4400.0,sedan,190,2.5,Diesel,no,2003,A6,1297
Toyota,12450.0,sedan,162,3.5,Gas,yes,2007,Camry,1298
Audi,3200.0,sedan,295,2.5,Diesel,no,2000,A6,1299
Audi,12600.0,sedan,294,3.0,Gas,yes,2004,A8,1300
Renault,,vagon,137,1.9,Diesel,yes,2008,Kangoo,1301
Mercedes-Benz,4400.0,sedan,225,2.0,Gas,yes,1995,E-Class,1302
Mercedes-Benz,3900.0,sedan,111,2.5,Diesel,yes,1989,E-Class,1303
Mercedes-Benz,154999.0,crossover,0,4.6,Petrol,yes,2016,GLS 500,1304
Volkswagen,8499.0,sedan,101,1.6,Petrol,yes,2012,Polo,1305
Mercedes-Benz,8000.0,other,230,2.2,Diesel,yes,2001,Vito,1306
Volkswagen,3500.0,hatch,250,1.9,Diesel,no,2000,Beetle,1307
Audi,11900.0,sedan,195,2.4,Gas,yes,2005,A6,1308
Toyota,24800.0,sedan,43,2.5,Gas,yes,2015,Camry,1309
Audi,3800.0,vagon,190,2.5,Diesel,no,2002,A6,1310
Volkswagen,4800.0,sedan,190,99.99,Petrol,yes,1998,Passat B5,1311
Volkswagen,7500.0,van,230,1.9,Diesel,yes,2006,Caddy,1312
BMW,8999.0,sedan,270,2.8,Petrol,yes,1998,528,1313
Volkswagen,5000.0,van,326,2.4,Diesel,yes,1995,T4 (Transporter),1314
Mercedes-Benz,21000.0,crossover,135,3.5,Petrol,yes,2007,ML 350,1315
Renault,4200.0,van,142,1.9,Diesel,yes,2007,Kangoo,1316
Mitsubishi,18000.0,crossover,160,3.2,Diesel,yes,2007,Pajero Wagon,1317
Volkswagen,8500.0,van,220,2.5,Diesel,yes,2003,T4 (Transporter),1318
Renault,3750.0,hatch,232,1.8,Petrol,yes,1997,Laguna,1319
Volkswagen,9000.0,other,212,2.0,Gas,yes,2007,Caddy,1320
Mitsubishi,6300.0,crossover,235,3.2,Diesel,no,2001,Pajero,1321
BMW,8400.0,sedan,297,2.2,Petrol,yes,2000,320,1322
Volkswagen,5000.0,hatch,190,,Petrol,yes,1998,Golf IV,1323
Volkswagen,17000.0,van,157,2.0,Diesel,yes,2010,T5 (Transporter),1324
Volkswagen,3000.0,sedan,240,1.8,Petrol,yes,1991,Jetta,1325
Mercedes-Benz,21300.0,crossover,114,4.7,Petrol,yes,2007,GL 450,1326
BMW,16500.0,crossover,230,3.0,Gas,yes,2004,X5,1327
Mercedes-Benz,7300.0,other,250,2.2,Diesel,yes,2005,Sprinter 311,1328
Mercedes-Benz,,van,300,2.3,Diesel,yes,1996,Vito,1329
Mercedes-Benz,2300.0,sedan,300,3.0,Diesel,yes,1999,E-Class,1330
BMW,8200.0,sedan,250,4.4,Petrol,yes,1997,540,1331
Audi,35000.0,sedan,61,2.8,Petrol,yes,2012,A6,1332
